Average_MW	MONO_MW	FORMULA	KEGG_ID	NAME	PUBCHEM_CID	CAS_ID	PATHWAY	hmdbid	super_class	class	sub_class	origin
 251.3645;	 251.1885;	 C15H25NO2	C17464	 Nupharamine;	 PubChem: 96023812	NULL	NULL	NA	NA	NA	NA	NA
 267.3639;	 267.1834;	 C15H25NO3	C07202	 Metoprolol;	 PubChem: 9411	 CAS: 51384-51-1	NULL	HMDB0001932	Benzenoids	Phenols	Tyrosols and derivatives	null
 283.3633;	 283.1784;	 C15H25NO4	C10263	" Amabiline; Butanoic acid, 2,3-dihydroxy-2-(1-methylethyl)-, (2,3,5,7a-tetrahydro-1H-pyrrolidizin-7-yl)methyl ester;"	 PubChem: 12449	 CAS: 17958-43-9	NULL	HMDB0302358	Alkaloids and derivatives	null	null	null
 283.3633;	 283.1784;	 C15H25NO4	C10403	" Supinine; Butanoic acid, 2,3-dihydroxy-2-(1-methylethyl)-, (2,3,5,7a-tetrahydro-1H-pyrrolizin-7-yl)methyl ester, (7aS-(7(2R*,3S*),7aR*))-;"	 PubChem: 12589	 CAS: 551-58-6	NULL	HMDB0302362	Alkaloids and derivatives	null	null	null
 299.3627;	 299.1733;	 C15H25NO5	C10326	 Indicine;	 PubChem: 12512	 CAS: 480-82-0	NULL	NA	NA	NA	NA	NA
 299.3627;	 299.1733;	 C15H25NO5	C10330	 Intermedine; 9-(+)-Trachelanthylretronecine;	 PubChem: 12516	 CAS: 10285-06-0	NULL	NA	NA	NA	NA	NA
 299.3627;	 299.1733;	 C15H25NO5	C10336	 Isolycopsamine;	 PubChem: 12522	 CAS: 6224-43-7	NULL	NA	NA	NA	NA	NA
 299.3627;	 299.1733;	 C15H25NO5	C10347	 Lycopsamine; 9-Viridiflorylretronecine;	 PubChem: 12533	 CAS: 10285-07-1	NULL	HMDB0301846	Alkaloids and derivatives	null	null	null
 299.3627;	 299.1733;	 C15H25NO5	C10378	 Rinderine; 9-(+)-Trachelanthylheliotridine;	 PubChem: 12564	 CAS: 6029-84-1	NULL	NA	NA	NA	NA	NA
 337.7233;	 336.0856;	 C15H26BrClO	C17193	 Heterocladol;	 PubChem: 135626096	 CAS: 65746-13-6	NULL	NA	NA	NA	NA	NA
 234.3803;	 234.2096;	 C15H26N2	C10783	 (-)-Sparteine; Sparteine;	 PubChem: 12966	 CAS: 90-39-1	" map00960 Tropane, piperidine and pyridine alkaloid biosynthesis; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01110 Biosynthesis of secondary metabolites"	NA	NA	NA	NA	NA
 234.3803;	 234.2096;	 C15H26N2	C17418	 Genisteine; Genisteine-alkaloid; alpha-Isosparteine;	 PubChem: 96023768	 CAS: 446-95-7	NULL	NA	NA	NA	NA	NA
 250.3797;	 250.2045;	 C15H26N2O	C10771	 Leontiformine;	 PubChem: 12954	 CAS: 29073-26-5	NULL	NA	NA	NA	NA	NA
 250.3797;	 250.2045;	 C15H26N2O	C10780	 Retamine;	 PubChem: 12963	 CAS: 2122-29-4	NULL	NA	NA	NA	NA	NA
 282.3785;	 282.1943;	 C15H26N2O3	C10756	 Cadiamine;	 PubChem: 12939	 CAS: 58071-45-7	NULL	NA	NA	NA	NA	NA
 346.3761;	 346.174;	 C15H26N2O7	C17970	 Spenolimycin;	 PubChem: 96024190	 CAS: 95041-97-7	NULL	NA	NA	NA	NA	NA
 390.3889;	 390.1751;	 C15H26N4O8	C20925	" L-Alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate; L-Alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate;"	 PubChem: 254741388	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C01126	" (2E,6E)-Farnesol; 2-trans,6-trans-Farnesol; trans-Farnesol;"	 PubChem: 4357	 CAS: 106-28-5	 map00900 Terpenoid backbone biosynthesis; map00909 Sesquiterpenoid and triterpenoid biosynthesis; map00981 Insect hormone biosynthesis; map01110 Biosynthesis of secondary metabolites	HMDB0004305	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Endogenous
 222.3663;	 222.1984;	 C15H26O	C03220	" (2Z,6E)-Farnesol; 2-cis,6-trans-Farnesol;"	 PubChem: 6093	 CAS: 3790-71-4	 map00909 Sesquiterpenoid and triterpenoid biosynthesis	HMDB0059849	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Food
 222.3663;	 222.1984;	 C15H26O	C09621	 (-)-alpha-Bisabolol; Levomenol;	 PubChem: 11811	 CAS: 23089-26-1	 map01062 Biosynthesis of terpenoids and steroids; map01100 Metabolic pathways	HMDB0036197	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Endogenous
 222.3663;	 222.1984;	 C15H26O	C09628	 Carotol; (+)-8-Daucen-5-ol;	 PubChem: 11818	 CAS: 465-28-1	NULL	HMDB0036579	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Endogenous
 222.3663;	 222.1984;	 C15H26O	C09631	 alpha-Cedrol; Cedrol;	 PubChem: 11821	 CAS: 77-53-2	NULL	HMDB0303103	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	null
 222.3663;	 222.1984;	 C15H26O	C09651	 Cycloeudesmol;	 PubChem: 11841	 CAS: 53823-06-6	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C09663	 alpha-Eudesmol;	 PubChem: 11853	 CAS: 473-16-5	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C09664	 beta-Eudesmol;	 PubChem: 11854	 CAS: 473-15-4	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C09676	 Guaiol;	 PubChem: 11866	 CAS: 489-86-1	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C09682	 Himachalol;	 PubChem: 11872	 CAS: 1891-45-8	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C09698	 Ledol;	 PubChem: 11888	 CAS: 577-27-5	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C09704	" Nerolidol; (3S,6E)-Nerolidol;"	 PubChem: 11893	 CAS: 7212-44-4	 map00909 Sesquiterpenoid and triterpenoid biosynthesis; map01062 Biosynthesis of terpenoids and steroids; map01100 Metabolic pathways	HMDB0041629	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Food
 222.3663;	 222.1984;	 C15H26O	C09705	 Patchouli alcohol;	 PubChem: 11894	 CAS: 5986-55-0	NULL	HMDB0303114	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	null
 222.3663;	 222.1984;	 C15H26O	C16143	" (1E,4S,5E,7R)-Germacra-1(10),5-dien-11-ol; Germacradienol;"	 PubChem: 47205453	NULL	 map00909 Sesquiterpenoid and triterpenoid biosynthesis; map01062 Biosynthesis of terpenoids and steroids; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C16813	 Valeranone;	 PubChem: 96023337	 CAS: 55528-90-0	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C16970	 Hinesol;	 PubChem: 96023456	 CAS: 23811-08-7	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C17124	 gamma-Eudesmol; Machilol; Selinenol; Uncineol;	 PubChem: 96023589	 CAS: 1209-71-8	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C18245	 8-epi-Cedrol;	 PubChem: 103061427	NULL	 map00909 Sesquiterpenoid and triterpenoid biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C19743	 (-)-Drimenol; Drimenol; Drim-7-en-11-ol;	 PubChem: 135626210	 CAS: 468-68-8	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C19744	 (+)-Epicubenol;	 PubChem: 135626211	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C19746	" (3R,6E)-Nerolidol;"	 PubChem: 135626213	 CAS: 7212-44-4	 map00909 Sesquiterpenoid and triterpenoid biosynthesis	HMDB0035662	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Endogenous
 222.3663;	 222.1984;	 C15H26O	C19755	 Patchoulol;	 PubChem: 135626222	NULL	 map00909 Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C19756	 Presilphiperfolan-8beta-ol;	 PubChem: 135626223	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C19893	 10-epi-gamma-Eudesmol; 10alpha-Eudesm-4-en-11-ol;	 PubChem: 135626359	 CAS: 15051-81-7	NULL	HMDB0303908	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	null
 222.3663;	 222.1984;	 C15H26O	C19974	 (+)-Caryolan-1-ol;	 PubChem: 135626440	NULL	 map00909 Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C20172	 Cubebol;	 PubChem: 163311915	 CAS: 23445-02-5	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C20181	 Avermitilol;	 PubChem: 163311924	NULL	 map00909 Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C20184	" (+)-T-Muurolol; (+)-tau-Muurolol; (1R,4R,4aS,8aR)-1,6-Dimethyl-4-(propan-2-yl)-1,2,3,4,4a,7,8,8a-octahydronaphthalen-1-ol;"	 PubChem: 163311927	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C20479	 (+)-epi-alpha-Bisabolol; (2S)-6-Methyl-2-[(1R)-4-methylcyclohex-3-en-1-yl]hept-5-en-2-ol;	 PubChem: 163312216	NULL	 map00909 Sesquiterpenoid and triterpenoid biosynthesis	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C20576	" Kunzeaol; 6beta-Hydroxygermacra-1(10),4-diene; (1R,2E,6E,10R)-3,7-Dimethyl-10-isopropylcyclodeca-2,6-dienol;"	 PubChem: 172232313	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21660	" (+)-Isoafricanol; (1aS,4aR,5R,7aS,7bR)-3,3,5,7b-Tetramethyldecahydro-4aH-cyclopropa[e]azulen-4a-ol;"	 PubChem: 350078237	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21681	" (+)-Corvol ether B; (1S,3R,5aR,6S,8aR)-3,6-Dimethyl-1-(propan-2-yl)hexahydro-1H,3H-3,8a-methanocyclopenta[c]oxepine;"	 PubChem: 350078258	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21686	" (+)-(1E,4E,6S,7R)-Germacra-1(10),4-dien-6-ol; (1S,2E,6E,10R)-3,7-Dimethyl-10-(propan-2-yl)cyclodeca-2,6-dien-1-ol;"	 PubChem: 350078263	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21689	" 7-epi-alpha-Eudesmol; (-)-7-epi-alpha-Eudesmol; 2-[(2S,4aR,8aR)-4a,8-Dimethyl-1,2,3,4,4a,5,6,8a-octahydronaphthalen-2-yl]propan-2-ol;"	 PubChem: 350078266	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21690	" 4-epi-Cubebol; (+)-4-epi-Cubebol; (3S,3aS,3bR,4S,7S,7aS)-4-(2-Hydroxypropan-2-yl)-7-methyloctahydro-1H-cyclopenta[1,3]cyclopropa[1,2]benzen-3-ol;"	 PubChem: 350078267	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21693	" (+)-Corvol ether A; (1R,4S,4aR,7R,8aR)-4,7-Dimethyl-1-(propan-2-yl)decahydro-1,7-epoxynaphthalene;"	 PubChem: 350078270	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21694	 10-epi-Juneol; 10alpha-Eudesm-4(14)-en-6alpha-ol;	 PubChem: 350078271	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21695	 tau-Cadinol; 10beta-Cadin-4-en-10-ol;	 PubChem: 350078272	NULL	NULL	HMDB0036646	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Endogenous
 222.3663;	 222.1984;	 C15H26O	C21698	" (2E,6E)-Hedycaryol; (1E,4E,7R)-Germacra-1(10),4-dien-11-ol;"	 PubChem: 350078275	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21700	 10-epi-Cubebol;	 PubChem: 350078277	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21708	" (+)-(2S,3R,9R)-Pristinol; (1R,6R,9aS)-1,4,8,8-Tetramethyl-2,3,5,6,7,8,9,9a-octahydro-1H-cyclopenta[8]annulen-6-ol;"	 PubChem: 350078285	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21710	 5-Hydroxy-alpha-gurjunene;	 PubChem: 350078287	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C21715	" (2Z,6E)-Hedycaryol; (1E,4Z,7R)-Germacra-1(10),4-dien-11-ol;"	 PubChem: 350078292	NULL	NULL	NA	NA	NA	NA	NA
 222.3663;	 222.1984;	 C15H26O	C22174	 Valerianol;	 PubChem: 405226365	NULL	NULL	NA	NA	NA	NA	NA
 414.3591;	 414.1373;	 C15H26O13	C20571	" alpha-1,5-L-Arabinotriose;"	 PubChem: 172232308	NULL	 map02010 ABC transporters	NA	NA	NA	NA	NA
 430.3585;	 430.1323;	 C15H26O14	C21968	 2-O-[alpha-D-Glucopyranosyl-(1->6)-alpha-D-glucopyranosyl]-D-glycerate;	 PubChem: 376219001	NULL	NULL	NA	NA	NA	NA	NA
 238.3657;	 238.1933;	 C15H26O2	C09632	 Centarol;	 PubChem: 11822	 CAS: 57308-24-4	NULL	NA	NA	NA	NA	NA
 238.3657;	 238.1933;	 C15H26O2	C09652	 Daucol;	 PubChem: 11842	 CAS: 887-08-1	NULL	HMDB0035287	Organoheterocyclic compounds	Oxanes	null	Food
 238.3657;	 238.1933;	 C15H26O2	C09653	 Debneyol;	 PubChem: 11843	 CAS: 99694-82-3	NULL	NA	NA	NA	NA	NA
 238.3657;	 238.1933;	 C15H26O2	C09722	 Seiricardine A;	 PubChem: 11910	 CAS: 132970-76-4	NULL	NA	NA	NA	NA	NA
 238.3657;	 238.1933;	 C15H26O2	C16773	 Bisabolol oxide A;	 PubChem: 96023297	 CAS: 22567-36-8	NULL	HMDB0038196	Organoheterocyclic compounds	Oxanes	null	Food
 238.3657;	 238.1933;	 C15H26O2	C16774	 Bisabolol oxide B;	 PubChem: 96023298	 CAS: 55399-12-7	NULL	HMDB0038197	Organoheterocyclic compounds	Tetrahydrofurans	null	Food
 238.3657;	 238.1933;	 C15H26O2	C16920	 Bornyl isovalerate; Bornyval; Hysterol;	 PubChem: 96023412	 CAS: 76-50-6	NULL	HMDB0038248	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Endogenous
 238.3657;	 238.1933;	 C15H26O2	C17427	 Kanokonol;	 PubChem: 96023777	NULL	NULL	NA	NA	NA	NA	NA
 238.3657;	 238.1933;	 C15H26O2	C21843	" Drimendiol; Drim-7-ene-11,12-diol;"	NULL	NULL	NULL	NA	NA	NA	NA	NA
 254.3651;	 254.1882;	 C15H26O3	C17603	 Kikkanol A;	 PubChem: 96023948	NULL	NULL	NA	NA	NA	NA	NA
 254.3651;	 254.1882;	 C15H26O3	C17606	 Kikkanol D;	 PubChem: 96023951	NULL	NULL	NA	NA	NA	NA	NA
 254.3651;	 254.1882;	 C15H26O3	C17608	 Kikkanol F;	 PubChem: 96023953	NULL	NULL	NA	NA	NA	NA	NA
 254.3651;	 254.1882;	 C15H26O3	C17610	 Chrysanthetriol;	 PubChem: 96023955	NULL	NULL	NA	NA	NA	NA	NA
 254.3651;	 254.1882;	 C15H26O3	C18538	 Prohydrojasmon;	 PubChem: 124489212	 CAS: 178602-66-9	NULL	NA	NA	NA	NA	NA
 270.3645;	 270.1831;	 C15H26O4	C16506	 (10S)-Juvenile hormone III acid diol;	 PubChem: 47205802	NULL	 map00981 Insect hormone biosynthesis	NA	NA	NA	NA	NA
 302.3633;	 302.1729;	 C15H26O6	C13870	 Tributyrin; Glyceryl tributyrate; Glycerol tributyrate;	 PubChem: 854115	 CAS: 60-01-5	NULL	HMDB0031094	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Endogenous
 221.3816;	 221.2144;	 C15H27N	C21574	 2-Undecylpyrrole;	 PubChem: 340076555	NULL	 map00333 Prodigiosin biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 357.4054;	 357.2012;	 C15H27N5O5	C01341	 E-64; Proteinase inhibitor E 64;	 PubChem: 4546	 CAS: 66701-25-5	NULL	NA	NA	NA	NA	NA
 237.381;	 237.2093;	 C15H27NO	C21573	" 4-Keto-2-undecylpyrroline; 4-Keto-2-undecyl-4,5-dihydropyrrole;"	 PubChem: 340076554	NULL	 map00333 Prodigiosin biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 510.3384;	 510.0986;	 C15H27O17P	C19793	 2-O-[2-O-(alpha-D-Mannopyranosyl)-alpha-D-glucopyranosyl]-3-phospho-D-glycerate;	 PubChem: 135626260	NULL	NULL	NA	NA	NA	NA	NA
 302.3462;	 302.1647;	 C15H27O4P	C20121	" trans,trans-Farnesyl phosphate; Farnesyl phosphate; (2E,6E)-Farnesyl phosphate;"	 PubChem: 135626581	NULL	 map00900 Terpenoid backbone biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 444.4546;	 444.1414;	 C15H28N2O11S	C19703	 1-O-[2-(L-Cysteinamido)-2-deoxy-alpha-D-glucopyranosyl]-1D-myo-inositol; Desacetylmycothiol;	 PubChem: 135626171	NULL	NULL	NA	NA	NA	NA	NA
 384.3762;	 384.1632;	 C15H28O11	C22292	" 1,3,3'-Tri-O-methyl-4alpha-mannobiose;"	NULL	NULL	NULL	NA	NA	NA	NA	NA
 240.3816;	 240.2089;	 C15H28O2	C17676	 Cryptomeridiol; Proximadiol;	 PubChem: 96024019	 CAS: 4666-84-6	NULL	NA	NA	NA	NA	NA
 240.3816;	 240.2089;	 C15H28O2	C22043	" 7-epi-ent-Eudesmane-5,11-diol;"	 PubChem: 384585103	NULL	NULL	NA	NA	NA	NA	NA
 382.3261;	 382.131;	 C15H28O7P2	C00448	" trans,trans-Farnesyl diphosphate; Farnesyl diphosphate; Farnesyl pyrophosphate; 2-trans,6-trans-Farnesyl diphosphate; (2E,6E)-Farnesyl diphosphate;"	 PubChem: 3736	 CAS: 372-97-4	 map00100 Steroid biosynthesis; map00550 Peptidoglycan biosynthesis; map00900 Terpenoid backbone biosynthesis; map00906 Carotenoid biosynthesis; map00909 Sesquiterpenoid and triterpenoid biosynthesis; map00981 Insect hormone biosynthesis; map00997 Biosynthesis of various other secondary metabolites; map00998 Biosynthesis of various antibiotics; map00999 Biosynthesis of various plant secondary metabolites; map01060 Biosynthesis of plant secondary metabolites; map01062 Biosynthesis of terpenoids and steroids; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites	HMDB0000961	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids	Endogenous
 382.3261;	 382.131;	 C15H28O7P2	C06111	 Nerolidyl diphosphate; NPP;	 PubChem: 8373	NULL	NULL	NA	NA	NA	NA	NA
 382.3261;	 382.131;	 C15H28O7P2	C16826	" 2-cis,6-trans-Farnesyl diphosphate; (2Z,6E)-Farnesyl diphosphate;"	 PubChem: 96023350	NULL	 map00900 Terpenoid backbone biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 382.3261;	 382.131;	 C15H28O7P2	C19760	" 2-cis,6-cis-Farnesyl diphosphate; (2Z,6Z)-Farnesyl diphosphate;"	 PubChem: 135626227	NULL	 map00900 Terpenoid backbone biosynthesis; map01110 Biosynthesis of secondary metabolites	NA	NA	NA	NA	NA
 287.3951;	 287.2097;	 C15H29NO4	C02838	 L-Octanoylcarnitine;	 PubChem: 5780	NULL	NULL	HMDB0000791	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Endogenous
 383.5239;	 383.1436;	 C15H29NO6S2	C21650	 7-Methylthioheptyl-desulfoglucosinolate;	 PubChem: 350078227	NULL	 map00966 Glucosinolate biosynthesis	NA	NA	NA	NA	NA
 463.5871;	 463.1004;	 C15H29NO9S3	C17252	 7-Methylthioheptyl glucosinolate;	 PubChem: 96023659	NULL	 map00966 Glucosinolate biosynthesis; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism	NA	NA	NA	NA	NA
 462.306;	 462.0974;	 C15H29O10P3	C03115	 Farnesyl triphosphate;	 PubChem: 6010	NULL	NULL	NA	NA	NA	NA	NA
 226.3981;	 226.2297;	 C15H30O	C01948	 Pentadecanal; 1-Pentadecanal;	 PubChem: 5051	 CAS: 2765-11-9	NULL	HMDB0031078	Lipids and lipid-like molecules	Fatty Acyls	Fatty aldehydes	Endogenous
 242.3975;	 242.2246;	 C15H30O2	C16537	 Pentadecanoic acid; Pentadecylic acid; n-Pentadecanoic acid;	 PubChem: 51090866	NULL	NULL	HMDB0000826	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Endogenous
 242.3975;	 242.2246;	 C15H30O2	C16665	 12-Methyltetradecanoic acid;	 PubChem: 51090989	NULL	 map02020 Two-component system	NA	NA	NA	NA	NA
 274.3963;	 274.2144;	 C15H30O4	C13854	 1-Dodecanoyl-sn-glycerol;	 PubChem: 854099	NULL	NULL	NA	NA	NA	NA	NA
 242.4637;	 242.2068;	 C15H30S	C11082	 2-N-Undecyltetrahydrothiophene; UTHT;	 PubChem: 13264	 CAS: 85438-98-8	NULL	NA	NA	NA	NA	NA
 212.4146;	 212.2504;	 C15H32	C08388	 Pentadecane; n-Pentadecane;	 PubChem: 10584	 CAS: 629-62-9	NULL	HMDB0059886	Hydrocarbons	Saturated hydrocarbons	Alkanes	null
 332.439;	 332.2424;	 C15H32N4O4	C17711	 Sannamycin B; Istamycin A0;	 PubChem: 96024041	 CAS: 72503-80-1	NULL	NA	NA	NA	NA	NA
 332.439;	 332.2424;	 C15H32N4O4	C17990	 Istamycin B0;	 PubChem: 96024210	NULL	NULL	NA	NA	NA	NA	NA
 348.4384;	 348.2373;	 C15H32N4O5	C17709	 Fortimicin B;	 PubChem: 96024039	 CAS: 54783-95-8	NULL	NA	NA	NA	NA	NA
 348.4384;	 348.2373;	 C15H32N4O5	C17976	 Fortimicin KH;	 PubChem: 96024196	NULL	NULL	NA	NA	NA	NA	NA
 348.4384;	 348.2373;	 C15H32N4O5	C17977	 Fortimicin KR;	 PubChem: 96024197	NULL	NULL	NA	NA	NA	NA	NA
 348.4384;	 348.2373;	 C15H32N4O5	C17978	 1-epi-Fortimicin B;	 PubChem: 96024198	NULL	NULL	NA	NA	NA	NA	NA
 531.5247;	 531.1989;	 C15H34N9O8PS	C08440	 Phaseolotoxin; N5-[Amino(sulfoamino)phosphinyl]-L-ornithyl-L-alanyl-N6-(aminoiminomethyl)-L-lysine;	 PubChem: 10634	 CAS: 62249-77-8	NULL	HMDB0301841	Organic acids and derivatives	Carboxylic acids and derivatives	"Amino acids, peptides, and analogues"	null
 375.1295;	 373.9837;	 C15H7Cl2F3N2O2	C19029	 Fenazaflor; Tarzol;	 PubChem: 124489701	 CAS: 14255-88-0	NULL	NA	NA	NA	NA	NA
 308.1345;	 306.9967;	 C15H8Cl2FNO	C18892	 Quinoxyfen;	 PubChem: 124489564	 CAS: 124495-18-7	NULL	HMDB0257055	Organic oxygen compounds	Organooxygen compounds	Ethers	null
 307.2241;	 307.0456;	 C15H8F3NO3	C14971	" N-(6-Oxo-6H-dibenzo[b,d]pyran-3-yl)-2,2,2-trifluoroacetamide;"	 PubChem: 17395969	NULL	NULL	NA	NA	NA	NA	NA
 307.2241;	 307.0456;	 C15H8F3NO3	C15394	" 2,2,2-Trifluoro-N-(6-oxo-6H-dibenzo[b,d]pyran-2-yl)acetamide; 6-(2,2,2-Trifluoroacetamide)-3,4-benzocoumarin;"	 PubChem: 17396391	NULL	NULL	NA	NA	NA	NA	NA
 362.2266;	 362.049;	 C15H8F6N2O2	C13833	 NS 1619;	 PubChem: 854078	 CAS: 153587-01-0	NULL	HMDB0255771	Organoheterocyclic compounds	Benzimidazoles	Phenylbenzimidazoles	null
 248.2362;	 248.0586;	 C15H8N2O2	C10742	 Tryptanthrine;	 PubChem: 12925	 CAS: 13220-57-0	NULL	HMDB0253473	Organoheterocyclic compounds	Diazanaphthalenes	Benzodiazines	null
 252.2216;	 252.0423;	 C15H8O4	C10374	" Morindaparvin A; 1,2-Methylenedioxyanthraquinone;"	 PubChem: 12560	 CAS: 41621-32-3	NULL	NA	NA	NA	NA	NA
 268.221;	 268.0372;	 C15H8O5	C10205	 Coumestrol;	 PubChem: 12391	 CAS: 479-13-0	 map00943 Isoflavonoid biosynthesis; map01061 Biosynthesis of phenylpropanoids; map01110 Biosynthesis of secondary metabolites	HMDB0002326	Phenylpropanoids and polyketides	Isoflavonoids	Coumestans	Food
 284.2204;	 284.0321;	 C15H8O6	C10401	 Rhein;	 PubChem: 12587	 CAS: 478-43-3	NULL	HMDB0032876	Benzenoids	Anthracenes	Anthracenecarboxylic acids and derivatives	Food
 300.2198;	 300.027;	 C15H8O7	C10394	 Pseudopurpurin;	 PubChem: 12580	 CAS: 476-41-5	NULL	NA	NA	NA	NA	NA
 256.6838;	 256.0291;	 C15H9ClO2	C15189	 3-(4-Chlorophenyl)-2H-1-benzopyran-2-one; 3-(p-Chlorophenyl)coumarin;	 PubChem: 17396186	NULL	NULL	NA	NA	NA	NA	NA
 304.682;	 304.0139;	 C15H9ClO5	C10311	 7-Chloroemodin;	 PubChem: 12497	 CAS: 18521-72-7	NULL	NA	NA	NA	NA	NA
 649.9424;	 649.7584;	 C15H9I3O5	C03832	" 3,5,3'-Triiodothyropyruvate; 3-[4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]-2-oxopropanoate;"	 PubChem: 6574	NULL	NULL	NA	NA	NA	NA	NA
 251.2369;	 251.0582;	 C15H9NO3	C19458	" 7-Methylpyrido[3,4-c]psoralen;"	 PubChem: 124490130	 CAS: 85878-63-3	NULL	NA	NA	NA	NA	NA
 267.2363;	 267.0532;	 C15H9NO4	C19264	 2-Methyl-1-nitroanthraquinone;	 PubChem: 124489936	 CAS: 129-15-7	NULL	NA	NA	NA	NA	NA
 285.2284;	 285.0399;	 C15H9O6	C08728	 Riccionidin A;	 PubChem: 10921	 CAS: 155518-34-6	NULL	NA	NA	NA	NA	NA
 4020.8385;	 4017.9476;	 C169H284N52O47S7	C20056	 Agitoxin 1; AgTX 1;	 PubChem: 135626522	 CAS: 155646-21-2	NULL	NA	NA	NA	NA	NA
