metabolite	KEGG.ID
 Cholestane;	C19661
 Polysulfide; (Sulfide)n; Polysulfane;	C19692
 Virol B; (8S,9Z)-9-Heptadecene-4,6-diyne-1,8-diol;	C19994
 Satratoxin H;	C20017
 2-Methylisoborneol; 1,2,7,7-Tetramethyl-exo-bicycloheptan-2-ol;	C20243
 1,2,6-Hexanetriol;	C20334
 Fumitremorgin A;	C20564
 Penitrem D;	C20596
 (L-Prolyl)adenylate;	C20656
 GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose; GDP-N-acetyl-alpha-D-perosamine;	C20672
 Penitrem B;	C20731
 3alpha-Hydroxy-3,5-dihydromonacolin L acid; (3R,5R)-7-[(1R,2R,3S,6R,8aR)-3-Hydroxy-2,6-dimethyl-1,2,3,5,6,7,8,8a-octahydronaphthalen-1-yl]-3,5-dihydroxyheptanoate;	C20852
 L-Alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate; L-Alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate;	C20925
 3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate; Epoxy-4S-H4HPP;	C21087
 Holyrine A;	C21127
 Melagatran;	C21551
 Tulathromycin A;	C21788
 8-Amino-8-demethylriboflavin 5'-phosphate; 8-Demethyl-8-aminoriboflavin 5'-phosphate;	C21805
 (L-Arginyl)adenylate; L-Arginyl-AMP; L-Arginyl-adenylate;	C22264
 3-Sulfinopropanoate; 3-Sulfinopropionic acid;	C22313
 (L-Cysteinyl)adenylate; L-Cysteinyl-AMP;	C22385
(2R)-2-[(2R,5S)-5-[(2S)-2-hydroxybutyl]oxolan-2-yl]propanoic acid	NA
(2S,3S)-(-)-3-Phenylglycidol	NA
2,6-Di-tert-butylpyridine	NA
6-Methylflavone	NA
6-Methylnicotinamide	NA
Acetyl-L-carnitine	NA
Carvone	NA
Chlordiazepoxide	NA
Citreoviridin putative annotated in Paecelomyces	NA
DL-Carnitine	NA
DL-Stachydrine	NA
Gabapentin Related Compound E	NA
Kasugamycin	NA
Leucylproline	NA
Loliolide	NA
Lupinine	NA
Methyldienolone	NA
N-(9-oxodecyl)acetamide	NA
OXOPROLINE	NA
Oleoyl ethylamide	NA
PHOSPHORYLCHOLINE	NA
Tris(1-chloro-2-propyl)phosphate	NA
Varenicline	NA
Verrucarol	NA
shogaol	NA
trans,trans-2,4-Heptadienal	NA
trans-4-Phenyl-4-piperidinocyclohexanol	NA
